WT sseJ sseL slrP ssaV_new srfJ steC sspH2 sseI steB spvD_new sseG sseF sifB pipB2 steA sifA gtgE steE spvB gogB sseK1 gtgA sopD2 pipB
82 0 41 4 2 1 34 6 15 3 4 20 0 11 0 0 23 0 0 0 0 62 0 0 0 0
83 0 67 10 5 0 39 7 18 11 5 13 0 12 0 0 24 0 0 0 0 64 0 0 0 0
84 0 34 4 3 0 31 4 8 6 10 103 0 10 0 0 32 0 0 0 1 49 0 2 0 0
85 0 35 5 0 0 27 3 6 4 6 12 0 7 0 0 27 0 0 0 0 34 0 0 0 0
86 0 28 2 3 0 34 10 8 3 7 11 0 12 0 0 30 0 0 0 0 44 0 1 0 0
87 0 44 5 10 1 26 5 15 9 11 19 0 12 0 0 51 0 0 0 0 59 0 1 0 0
88 0 24 9 6 0 33 7 13 4 5 12 0 6 0 0 29 0 0 0 0 37 0 1 0 0
89 0 13 3 1 1 16 6 4 2 3 6 0 4 0 0 6 0 0 0 1 26 1 0 0 0
90 21 63 9 2 0 39 6 16 234 5 11 0 16 0 0 26 0 0 0 0 47 1 1 0 0
91 0 22 5 2 1 29 3 13 5 5 8 0 2 0 0 20 0 0 0 1 34 0 1 0 0
92 0 20 5 2 0 14 8 8 3 5 5 0 6 0 0 12 0 0 0 0 31 0 1 0 0
93 0 73 7 1 4 44 7 20 3 13 16 0 11 0 0 21 0 0 0 1 60 0 1 0 0
94 0 37 7 0 1 28 14 6 4 4 2 0 5 0 0 9 0 0 0 0 32 1 0 0 0
95 0 23 5 0 2 14 3 3 0 5 2 0 8 0 0 11 0 883 0 0 23 2 0 0 0
96 0 10 3 0 0 5 0 2 3 1 1 0 2 0 0 6 0 0 0 0 19 0 0 0 0
110 0 0 0 14 0 0 0 0 0 5 9 0 0 0 8 25 0 0 12 0 0 0 21 5 0
210 2 0 2 30 0 0 0 0 0 9 19 0 0 0 10 43 0 0 29 0 0 0 46 3 1
310 2 0 5 24 0 0 0 0 0 8 34 0 0 0 8 36 0 0 19 0 0 0 54 8 0
